country,geo,year,unemployment_rate
Austria,AT,2020,6.00
Austria,AT,2021,6.20
Austria,AT,2022,4.80
Austria,AT,2023,5.10
Austria,AT,2024,5.20
Belgium,BE,2020,5.80
Belgium,BE,2021,6.30
Belgium,BE,2022,5.60
Belgium,BE,2023,5.50
Belgium,BE,2024,5.70
Bulgaria,BG,2020,6.10
Bulgaria,BG,2021,5.20
Bulgaria,BG,2022,4.20
Bulgaria,BG,2023,4.30
Bulgaria,BG,2024,4.20
Croatia,HR,2020,7.40
Croatia,HR,2021,7.50
Croatia,HR,2022,6.80
Croatia,HR,2023,6.10
Croatia,HR,2024,5.00
Cyprus,CY,2020,7.60
Cyprus,CY,2021,7.20
Cyprus,CY,2022,6.30
Cyprus,CY,2023,5.80
Cyprus,CY,2024,4.90
Czechia,CZ,2020,2.60
Czechia,CZ,2021,2.80
Czechia,CZ,2022,2.20
Czechia,CZ,2023,2.60
Czechia,CZ,2024,2.60
Denmark,DK,2020,5.60
Denmark,DK,2021,5.10
Denmark,DK,2022,4.50
Denmark,DK,2023,5.10
Denmark,DK,2024,6.20
Estonia,EE,2020,6.90
Estonia,EE,2021,6.20
Estonia,EE,2022,5.60
Estonia,EE,2023,6.40
Estonia,EE,2024,7.60
Finland,FI,2020,7.70
Finland,FI,2021,7.70
Finland,FI,2022,6.80
Finland,FI,2023,7.20
Finland,FI,2024,8.40
France,FR,2020,8.00
France,FR,2021,7.90
France,FR,2022,7.30
France,FR,2023,7.30
France,FR,2024,7.40
Germany,DE,2020,3.60
Germany,DE,2021,3.60
Germany,DE,2022,3.10
Germany,DE,2023,3.10
Germany,DE,2024,3.40
Greece,EL,2020,17.60
Greece,EL,2021,14.70
Greece,EL,2022,12.50
Greece,EL,2023,11.10
Greece,EL,2024,10.10
Hungary,HU,2020,4.10
Hungary,HU,2021,4.00
Hungary,HU,2022,3.60
Hungary,HU,2023,4.10
Hungary,HU,2024,4.50
Ireland,IE,2020,5.90
Ireland,IE,2021,6.20
Ireland,IE,2022,4.50
Ireland,IE,2023,4.30
Ireland,IE,2024,4.30
Italy,IT,2020,9.30
Italy,IT,2021,9.50
Italy,IT,2022,8.10
Italy,IT,2023,7.70
Italy,IT,2024,6.50
Latvia,LV,2020,8.10
Latvia,LV,2021,7.60
Latvia,LV,2022,6.90
Latvia,LV,2023,6.50
Latvia,LV,2024,6.90
Lithuania,LT,2020,8.50
Lithuania,LT,2021,7.10
Lithuania,LT,2022,6.00
Lithuania,LT,2023,6.90
Lithuania,LT,2024,7.10
Luxembourg,LU,2020,6.80
Luxembourg,LU,2021,5.30
Luxembourg,LU,2022,4.60
Luxembourg,LU,2023,5.20
Luxembourg,LU,2024,6.40
Malta,MT,2020,4.90
Malta,MT,2021,3.80
Malta,MT,2022,3.50
Malta,MT,2023,3.50
Malta,MT,2024,3.20
Netherlands,NL,2020,4.90
Netherlands,NL,2021,4.20
Netherlands,NL,2022,3.50
Netherlands,NL,2023,3.60
Netherlands,NL,2024,3.70
Poland,PL,2020,3.20
Poland,PL,2021,3.40
Poland,PL,2022,2.90
Poland,PL,2023,2.80
Poland,PL,2024,2.90
Portugal,PT,2020,7.10
Portugal,PT,2021,6.70
Portugal,PT,2022,6.20
Portugal,PT,2023,6.50
Portugal,PT,2024,6.50
Romania,RO,2020,6.10
Romania,RO,2021,5.60
Romania,RO,2022,5.60
Romania,RO,2023,5.60
Romania,RO,2024,5.40
Slovakia,SK,2020,6.70
Slovakia,SK,2021,6.80
Slovakia,SK,2022,6.10
Slovakia,SK,2023,5.80
Slovakia,SK,2024,5.30
Slovenia,SI,2020,5.00
Slovenia,SI,2021,4.80
Slovenia,SI,2022,4.00
Slovenia,SI,2023,3.70
Slovenia,SI,2024,3.70
Spain,ES,2020,15.50
Spain,ES,2021,14.90
Spain,ES,2022,13.00
Spain,ES,2023,12.20
Spain,ES,2024,11.40
Sweden,SE,2020,8.50
Sweden,SE,2021,8.90
Sweden,SE,2022,7.50
Sweden,SE,2023,7.70
Sweden,SE,2024,8.40
