country,geo,year,youth_unemployment_rate
Austria,AT,2020,11.70
Austria,AT,2021,11.00
Austria,AT,2022,9.50
Austria,AT,2023,10.40
Austria,AT,2024,10.30
Belgium,BE,2020,15.90
Belgium,BE,2021,18.20
Belgium,BE,2022,16.40
Belgium,BE,2023,16.10
Belgium,BE,2024,17.40
Bulgaria,BG,2020,17.50
Bulgaria,BG,2021,15.80
Bulgaria,BG,2022,10.60
Bulgaria,BG,2023,12.10
Bulgaria,BG,2024,12.30
Croatia,HR,2020,20.60
Croatia,HR,2021,21.50
Croatia,HR,2022,17.70
Croatia,HR,2023,18.90
Croatia,HR,2024,16.80
Cyprus,CY,2020,17.60
Cyprus,CY,2021,17.30
Cyprus,CY,2022,18.10
Cyprus,CY,2023,16.60
Cyprus,CY,2024,13.00
Czechia,CZ,2020,8.00
Czechia,CZ,2021,8.20
Czechia,CZ,2022,6.80
Czechia,CZ,2023,8.30
Czechia,CZ,2024,9.10
Denmark,DK,2020,11.70
Denmark,DK,2021,10.80
Denmark,DK,2022,10.60
Denmark,DK,2023,11.50
Denmark,DK,2024,14.60
Estonia,EE,2020,18.30
Estonia,EE,2021,16.70
Estonia,EE,2022,18.60
Estonia,EE,2023,17.30
Estonia,EE,2024,19.10
Finland,FI,2020,21.00
Finland,FI,2021,17.10
Finland,FI,2022,14.20
Finland,FI,2023,16.20
Finland,FI,2024,18.80
France,FR,2020,21.50
France,FR,2021,18.90
France,FR,2022,17.30
France,FR,2023,17.20
France,FR,2024,18.70
Germany,DE,2020,7.90
Germany,DE,2021,7.00
Germany,DE,2022,6.00
Germany,DE,2023,5.90
Germany,DE,2024,6.50
Greece,EL,2020,38.00
Greece,EL,2021,35.50
Greece,EL,2022,31.40
Greece,EL,2023,26.70
Greece,EL,2024,22.50
Hungary,HU,2020,12.70
Hungary,HU,2021,13.60
Hungary,HU,2022,10.60
Hungary,HU,2023,12.80
Hungary,HU,2024,15.20
Ireland,IE,2020,15.80
Ireland,IE,2021,14.60
Ireland,IE,2022,10.10
Ireland,IE,2023,10.70
Ireland,IE,2024,10.60
Italy,IT,2020,29.80
Italy,IT,2021,29.70
Italy,IT,2022,23.70
Italy,IT,2023,22.70
Italy,IT,2024,20.30
Latvia,LV,2020,14.90
Latvia,LV,2021,14.80
Latvia,LV,2022,15.30
Latvia,LV,2023,12.30
Latvia,LV,2024,13.60
Lithuania,LT,2020,19.60
Lithuania,LT,2021,14.30
Lithuania,LT,2022,11.90
Lithuania,LT,2023,13.80
Lithuania,LT,2024,16.20
Luxembourg,LU,2020,23.20
Luxembourg,LU,2021,16.90
Luxembourg,LU,2022,17.60
Luxembourg,LU,2023,18.80
Luxembourg,LU,2024,21.60
Malta,MT,2020,11.50
Malta,MT,2021,9.90
Malta,MT,2022,9.00
Malta,MT,2023,9.20
Malta,MT,2024,9.20
Netherlands,NL,2020,10.60
Netherlands,NL,2021,9.30
Netherlands,NL,2022,7.60
Netherlands,NL,2023,8.20
Netherlands,NL,2024,8.70
Poland,PL,2020,10.80
Poland,PL,2021,11.90
Poland,PL,2022,10.80
Poland,PL,2023,11.40
Poland,PL,2024,10.80
Portugal,PT,2020,22.40
Portugal,PT,2021,23.40
Portugal,PT,2022,19.20
Portugal,PT,2023,20.50
Portugal,PT,2024,21.60
Romania,RO,2020,21.60
Romania,RO,2021,21.00
Romania,RO,2022,22.80
Romania,RO,2023,21.80
Romania,RO,2024,23.90
Slovakia,SK,2020,20.40
Slovakia,SK,2021,20.60
Slovakia,SK,2022,19.90
Slovakia,SK,2023,19.80
Slovakia,SK,2024,19.20
Slovenia,SI,2020,14.30
Slovenia,SI,2021,12.80
Slovenia,SI,2022,10.10
Slovenia,SI,2023,9.90
Slovenia,SI,2024,10.90
Spain,ES,2020,38.30
Spain,ES,2021,35.00
Spain,ES,2022,29.70
Spain,ES,2023,28.70
Spain,ES,2024,26.50
Sweden,SE,2020,23.60
Sweden,SE,2021,24.70
Sweden,SE,2022,21.70
Sweden,SE,2023,22.10
Sweden,SE,2024,24.30
