country,geo,year,lci_yoy_construction_F_pct,lci_yoy_comparator_B-S_pct,differential_pp,quarters_F,quarters_BS
Austria,AT,2021,0.95,0.38,0.57,4,4
Austria,AT,2022,5.60,6.13,-0.53,4,4
Austria,AT,2023,8.33,7.49,0.84,4,4
Austria,AT,2024,9.24,7.93,1.32,4,4
Austria,AT,2025,0.07,0.12,-0.06,3,3
Austria,AT,AVG_2021_2025,,,0.43,,
Belgium,BE,2021,1.00,1.10,-0.10,4,4
Belgium,BE,2022,5.87,6.01,-0.14,4,4
Belgium,BE,2023,8.63,8.30,0.33,4,4
Belgium,BE,2024,2.26,2.30,-0.04,4,4
Belgium,BE,2025,,,,2,2
Belgium,BE,AVG_2021_2025,,,0.01,,
Bulgaria,BG,2021,10.35,9.05,1.30,4,4
Bulgaria,BG,2022,11.64,14.42,-2.78,4,4
Bulgaria,BG,2023,16.44,14.03,2.41,4,4
Bulgaria,BG,2024,17.22,13.95,3.27,4,4
Bulgaria,BG,2025,13.01,10.26,2.75,3,3
Bulgaria,BG,AVG_2021_2025,,,1.39,,
Croatia,HR,2021,3.57,3.00,0.57,4,4
Croatia,HR,2022,9.34,8.74,0.60,4,4
Croatia,HR,2023,17.04,14.51,2.53,4,4
Croatia,HR,2024,10.75,15.07,-4.32,4,4
Croatia,HR,2025,12.13,11.45,0.68,3,3
Croatia,HR,AVG_2021_2025,,,0.01,,
Cyprus,CY,2021,2.72,1.05,1.68,4,4
Cyprus,CY,2022,3.19,6.88,-3.69,4,4
Cyprus,CY,2023,4.86,6.64,-1.79,4,4
Cyprus,CY,2024,4.48,4.82,-0.34,4,4
Cyprus,CY,2025,1.36,0.23,1.13,3,3
Cyprus,CY,AVG_2021_2025,,,-0.60,,
Czechia,CZ,2021,5.16,0.75,4.41,4,4
Czechia,CZ,2022,2.03,2.70,-0.67,4,4
Czechia,CZ,2023,7.46,7.20,0.26,4,4
Czechia,CZ,2024,8.03,5.72,2.31,4,4
Czechia,CZ,2025,6.72,4.51,2.21,3,3
Czechia,CZ,AVG_2021_2025,,,1.70,,
Denmark,DK,2021,,,,0,0
Denmark,DK,2022,,,,0,0
Denmark,DK,2023,,,,0,0
Denmark,DK,2024,,,,0,0
Denmark,DK,2025,,,,0,0
Denmark,DK,AVG_2021_2025,,,,,
Estonia,EE,2021,6.70,6.37,0.32,4,4
Estonia,EE,2022,5.13,9.26,-4.13,4,4
Estonia,EE,2023,4.88,11.81,-6.93,4,4
Estonia,EE,2024,5.95,7.02,-1.07,4,4
Estonia,EE,2025,8.95,7.78,1.16,3,3
Estonia,EE,AVG_2021_2025,,,-2.13,,
Finland,FI,2021,3.57,3.37,0.20,4,4
Finland,FI,2022,2.44,2.85,-0.42,4,4
Finland,FI,2023,1.08,3.34,-2.25,4,4
Finland,FI,2024,3.75,2.00,1.75,4,4
Finland,FI,2025,5.98,7.13,-1.15,3,3
Finland,FI,AVG_2021_2025,,,-0.37,,
France,FR,2021,-0.88,0.80,-1.68,4,4
